,name,position,team,opponent_team,round,total_points,season,xP,assists_avg_last3,bonus_avg_last3,bps_avg_last3,clean_sheets_avg_last3,creativity_avg_last3,expected_assists_avg_last3,expected_goal_involvements_avg_last3,expected_goals_avg_last3,expected_goals_conceded_avg_last3,goals_conceded_avg_last3,goals_scored_avg_last3,influence_avg_last3,minutes_avg_last3,own_goals_avg_last3,penalties_missed_avg_last3,penalties_saved_avg_last3,red_cards_avg_last3,saves_avg_last3,selected_avg_last3,starts_avg_last3,threat_avg_last3,total_points_avg_last3,transfers_balance_avg_last3,transfers_in_avg_last3,transfers_out_avg_last3,value_avg_last3,yellow_cards_avg_last3,assists_prev_week,bonus_prev_week,bps_prev_week,clean_sheets_prev_week,creativity_prev_week,expected_assists_prev_week,expected_goal_involvements_prev_week,expected_goals_prev_week,expected_goals_conceded_prev_week,goals_conceded_prev_week,goals_scored_prev_week,influence_prev_week,minutes_prev_week,own_goals_prev_week,penalties_missed_prev_week,penalties_saved_prev_week,red_cards_prev_week,saves_prev_week,selected_prev_week,starts_prev_week,threat_prev_week,total_points_prev_week,transfers_balance_prev_week,transfers_in_prev_week,transfers_out_prev_week,value_prev_week,yellow_cards_prev_week
0,Ben Davies,DEF,Spurs,17,1,2,2022-23,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1014,0.0,0.0,0,0,0,0,40,0
1,Fabian Schär,DEF,Newcastle,5,2,5,2022-23,10.0,0.0,3.0,43.0,1.0,14.6,0.0,0.0,0.0,0.0,0.0,1.0,66.0,90.0,0.0,0.0,0.0,0.0,0.0,40132.0,0.0,25.0,15.0,0.0,0.0,0.0,45.0,0.0,0,3,43,1,14.6,0.0,0.0,0.0,0.0,0,1,66.0,90,0,0,0,0,0,40132,0.0,25.0,15,0,0,0,45,0
2,Alisson Ramses Becker,GK,Liverpool,7,2,2,2022-23,2.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.2,90.0,0.0,0.0,0.0,0.0,1.0,1567712.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,2,0,8.2,90,0,0,0,0,1,1567712,0.0,0.0,1,0,0,0,55,0
3,Che Adams,FWD,Southampton,11,2,2,2022-23,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61566.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,61566,0.0,0.0,0,0,0,0,65,0
4,Rodrigo Hernandez,MID,Man City,3,2,3,2022-23,4.5,0.0,0.0,18.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,16.0,88.0,0.0,0.0,0.0,0.0,0.0,220268.0,0.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0,0,18,1,5.8,0.0,0.0,0.0,0.0,0,0,16.0,88,0,0,0,0,0,220268,0.0,1.0,3,0,0,0,60,0
5,Jack Grealish,MID,Man City,3,2,1,2022-23,3.5,0.0,0.0,19.0,1.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,7.2,90.0,0.0,0.0,0.0,0.0,0.0,327616.0,0.0,14.0,3.0,0.0,0.0,0.0,70.0,0.0,0,0,19,1,29.2,0.0,0.0,0.0,0.0,0,0,7.2,90,0,0,0,0,0,327616,0.0,14.0,3,0,0,0,70,0
6,Jack Harrison,MID,Leeds,17,2,4,2022-23,4.5,1.0,2.0,25.0,0.0,78.8,0.0,0.0,0.0,0.0,1.0,0.0,34.8,90.0,0.0,0.0,0.0,0.0,0.0,79451.0,0.0,10.0,6.0,0.0,0.0,0.0,60.0,1.0,1,2,25,0,78.8,0.0,0.0,0.0,0.0,1,0,34.8,90,0,0,0,0,0,79451,0.0,10.0,6,0,0,0,60,1
7,Rodrigo Moreno,MID,Leeds,17,2,15,2022-23,10.5,0.0,0.0,23.0,0.0,1.1,0.0,0.0,0.0,0.0,1.0,1.0,34.8,64.0,0.0,0.0,0.0,0.0,0.0,73866.0,0.0,29.0,7.0,0.0,0.0,0.0,60.0,0.0,0,0,23,0,1.1,0.0,0.0,0.0,0.0,1,1,34.8,64,0,0,0,0,0,73866,0.0,29.0,7,0,0,0,60,0
8,Erling Haaland,FWD,Man City,3,2,5,2022-23,10.5,0.0,3.0,48.0,1.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,62.6,77.0,0.0,0.0,0.0,0.0,0.0,3398599.0,0.0,73.0,13.0,0.0,0.0,0.0,115.0,0.0,0,3,48,1,4.8,0.0,0.0,0.0,0.0,0,2,62.6,77,0,0,0,0,0,3398599,0.0,73.0,13,0,0,0,115,0
9,Phil Foden,MID,Man City,3,2,9,2022-23,7.5,0.0,0.0,19.0,1.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,10.8,87.0,0.0,0.0,0.0,0.0,0.0,482845.0,0.0,10.0,3.0,0.0,0.0,0.0,80.0,0.0,0,0,19,1,30.4,0.0,0.0,0.0,0.0,0,0,10.8,87,0,0,0,0,0,482845,0.0,10.0,3,0,0,0,80,0
