,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent,season,position,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,Kevin_De Bruyne_215,1,1,37,1,37.4,215,8,0,0,10.2,37.8,2019-08-10T11:30:00Z,78,19,0,0,0,0,1,0,868463,5.0,0.0,27.0,7,0,0,0,95,False,0,West Ham,2019-20,,,,,,,,
1,Mohamed_Salah_191,1,2,40,0,39.7,191,1,1,1,13.4,54.8,2019-08-09T19:00:00Z,90,14,0,0,0,0,1,0,2375465,1.0,4.0,39.0,12,0,0,0,125,True,0,Norwich,2019-20,,,,,,,,
2,Sadio_Mané_192,0,0,3,0,1.3,192,1,0,0,0.9,1.2,2019-08-09T19:00:00Z,16,14,0,0,0,0,1,0,842260,1.0,4.0,6.0,1,0,0,0,115,True,0,Norwich,2019-20,,,,,,,,
3,Kevin_De Bruyne_215,2,3,44,0,127.7,215,16,2,0,22.5,59.2,2019-08-17T16:30:00Z,90,17,0,0,0,0,2,0,995410,2.0,2.0,38.0,11,2049,81457,79408,95,True,0,Spurs,2019-20,,,,,,,,
4,Mohamed_Salah_191,0,0,0,1,11.8,191,19,0,0,4.3,2.4,2019-08-17T14:00:00Z,78,16,0,0,0,0,2,0,2778082,2.0,1.0,29.0,3,114282,156910,42628,125,False,0,Southampton,2019-20,,,,,,,,
5,Sadio_Mané_192,1,3,45,0,56.0,192,19,1,1,16.3,69.4,2019-08-17T14:00:00Z,90,16,0,0,0,0,2,0,863447,2.0,1.0,38.0,13,-51300,64639,115939,115,False,0,Southampton,2019-20,,,,,,,,
6,Kevin_De Bruyne_215,1,0,22,0,42.3,215,22,1,0,7.6,17.2,2019-08-25T13:00:00Z,90,3,0,0,0,0,3,0,1566970,3.0,1.0,16.0,5,460538,510105,49567,96,False,0,Bournemouth,2019-20,,,,,,,,
7,Mohamed_Salah_191,0,3,43,0,16.6,191,24,1,2,15.5,71.2,2019-08-24T16:30:00Z,90,1,0,0,0,0,3,0,2444065,1.0,3.0,67.0,15,-351541,47097,398638,125,True,0,Arsenal,2019-20,,,,,,,,
8,Sadio_Mané_192,0,0,10,1,51.2,192,24,0,0,10.1,20.2,2019-08-24T16:30:00Z,76,1,0,0,0,0,3,0,1221704,1.0,3.0,30.0,3,277381,334374,56993,115,True,0,Arsenal,2019-20,,,,,,,,
9,Kevin_De Bruyne_215,1,2,41,1,26.7,215,37,0,1,11.4,59.8,2019-08-31T14:00:00Z,68,4,0,0,0,0,4,0,1914603,0.0,4.0,27.0,13,293070,373295,80225,97,True,0,Brighton,2019-20,,,,,,,,
