,name,position,team,opponent_team,round,xP,season,minutes_lag_1,minutes_lag_2,bps_lag_1,minutes_lag_3,influence_lag_1,total_points_lag_1,selected_lag_1,selected_lag_2,selected_lag_3,threat_lag_1,bps_lag_2,influence_lag_2,creativity_lag_1,bps_lag_3,influence_lag_3,total_points_lag_2,threat_lag_2,total_points_lag_3,transfers_in_lag_2,creativity_lag_2,goals_conceded_lag_1,goals_conceded_lag_1.1,value_lag_2,value_lag_1,value_lag_3,threat_lag_3,creativity_lag_3,expected_goal_involvements_lag_1,transfers_in_lag_1,expected_goals_lag_1,transfers_in_lag_3,expected_goals_conceded_lag_1,goals_scored_lag_1,goals_scored_lag_1.1,expected_goal_involvements_lag_2,goals_conceded_lag_2,goals_conceded_lag_2.1,bonus_lag_1,goals_scored_lag_3,goals_scored_lag_3.1,expected_goals_lag_2,goals_conceded_lag_3,goals_conceded_lag_3.1,clean_sheets_lag_2.1,clean_sheets_lag_2,clean_sheets_lag_1,clean_sheets_lag_1.1,expected_assists_lag_1,expected_goal_involvements_lag_3,expected_assists_lag_2,expected_goals_lag_3,bonus_lag_3,goals_scored_lag_2.1,goals_scored_lag_2,transfers_out_lag_1,expected_goals_conceded_lag_2,bonus_lag_2,total_points
0,Ben Davies,DEF,Liverpool,14,3,0.0,2022-23,90,0,20,85,40.2,4,68940,779,62596,33.0,0,0.0,10.9,14,22.4,0,0.0,2,0,0.0,2,2,40,50,50,9.0,16.8,0.0,2581,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6595,0.0,0,0
1,Ben Davies,DEF,Spurs,20,3,4.5,2022-23,0,90,0,0,0.0,0,686,68940,779,0.0,20,40.2,0.0,0,0.0,4,33.0,0,2581,10.9,0,0,50,40,40,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,99,0.0,0,6
2,Fabian Schär,DEF,Newcastle,20,4,5.2,2022-23,90,90,9,90,24.4,0,699172,411488,40132,0.0,22,20.6,0.2,43,66.0,5,0.0,15,238819,0.7,3,3,46,46,45,25.0,14.6,0.0,272486,0.0,0,0.0,0,0,0.0,0,0,0,1,1,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0,0,68603,0.0,0,1
3,Alisson Ramses Becker,GK,Liverpool,3,4,4.0,2022-23,90,90,19,90,23.8,1,1591356,1646148,1567712,0.0,12,16.8,0.0,11,8.2,2,0.0,1,36501,0.0,2,2,55,55,55,0.0,0.0,0.0,44231,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,169269,0.0,0,6
4,Che Adams,FWD,Southampton,14,4,3.5,2022-23,31,90,53,0,64.0,12,48946,53680,61566,38.0,6,5.2,0.5,0,0.0,2,3.0,0,2626,13.5,0,0,64,64,65,0.0,0.0,0.0,3102,0.0,0,0.0,2,2,0.0,2,2,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,10912,0.0,0,2
5,Rodrigo Hernandez,MID,Man City,7,4,5.0,2022-23,90,90,29,88,39.2,5,248071,253733,220268,40.0,9,9.4,16.8,18,16.0,3,7.0,3,23986,13.3,3,3,60,60,60,1.0,5.8,0.0,25803,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,47971,0.0,0,5
6,Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,17,4,1.7,2022-23,4,90,1,37,0.0,1,345362,414347,352984,3.0,2,7.8,0.0,3,4.6,2,26.0,1,32101,35.6,0,0,105,104,105,20.0,11.5,0.0,16665,0.0,0,0.0,0,0,0.0,4,4,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,113569,0.0,0,1
7,Jack Grealish,MID,Man City,7,4,0.5,2022-23,0,45,0,90,0.0,0,311221,393693,327616,0.0,5,6.0,0.0,19,7.2,1,4.0,3,61070,25.2,0,0,70,70,70,14.0,29.2,0.0,20359,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,107507,0.0,0,0
8,Chris Wood,FWD,Newcastle,20,4,1.2,2022-23,21,3,4,1,2.6,1,98208,122360,137537,0.0,2,0.2,0.8,2,0.0,1,0.0,1,6011,0.0,0,0,60,59,60,0.0,0.0,0.0,4808,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,33209,0.0,0,2
9,Leander Dendoncker,MID,Wolves,15,4,1.8,2022-23,32,90,5,90,4.4,1,15953,15298,13096,2.0,12,10.0,10.3,21,24.4,3,2.0,2,1738,2.2,1,1,50,50,50,37.0,16.5,0.0,2091,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,2563,0.0,0,1
10,Aleksandar Mitrović,FWD,Fulham,1,4,5.2,2022-23,90,90,14,90,47.8,6,1545465,1450647,509091,129.0,-5,5.8,1.3,57,82.0,-1,34.0,13,612051,11.3,2,2,66,66,65,58.0,14.7,0.0,293938,0.0,0,0.0,1,1,0.0,0,0,0,2,2,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,3,0,0,255581,0.0,0,7
11,Stuart Armstrong,MID,Southampton,14,4,0.7,2022-23,20,60,3,45,1.4,1,10127,10063,9352,3.0,5,1.4,11.3,0,3.4,2,23.0,1,684,17.4,0,0,50,50,50,0.0,2.6,0.0,1290,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1860,0.0,0,1
12,Rodrigo Moreno,MID,Leeds,5,4,8.7,2022-23,82,90,27,64,48.2,13,1174241,156860,73866,66.0,49,75.4,11.9,23,34.8,15,113.0,7,55729,31.8,0,0,60,62,60,29.0,1.1,0.0,957289,0.0,0,0.0,1,1,0.0,2,2,2,1,1,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,2,2,99354,0.0,3,2
13,Frederico Rodrigues de Paula Santos,MID,Man Utd,17,4,1.3,2022-23,19,45,7,52,6.8,1,65145,82724,83919,0.0,10,3.8,0.1,6,1.0,1,4.0,1,5771,4.2,1,1,55,54,55,1.0,3.1,0.0,2951,0.0,0,0.0,0,0,0.0,4,4,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,23912,0.0,0,0
14,Erling Haaland,FWD,Man City,7,4,11.2,2022-23,90,73,28,77,43.0,6,5676608,5226268,3398599,70.0,16,18.2,11.9,48,62.6,5,23.0,13,1143813,13.3,3,3,116,117,115,73.0,4.8,0.0,368864,0.0,0,0.0,1,1,0.0,0,0,0,2,2,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0,0,141547,0.0,0,17
15,Phil Foden,MID,Man City,7,4,5.5,2022-23,90,45,17,87,12.4,2,766938,597136,482845,31.0,30,60.2,36.5,19,10.8,9,36.0,3,74775,40.4,3,3,80,80,80,10.0,30.4,0.0,189602,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,74975,0.0,0,4
16,Scott McTominay,MID,Man Utd,17,4,1.7,2022-23,90,45,14,77,13.0,2,21148,25216,22964,0.0,8,11.2,0.5,1,0.0,0,0.0,1,2387,3.3,1,1,50,49,50,26.0,2.1,0.0,1932,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,7510,0.0,0,2
17,Mateusz Klich,MID,Leeds,5,4,0.5,2022-23,7,6,1,25,0.0,1,9421,10469,10219,0.0,7,6.2,0.3,2,1.4,1,0.0,1,431,21.0,0,0,50,49,50,4.0,5.3,0.0,599,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2107,0.0,0,1
18,Kevin De Bruyne,MID,Man City,7,4,7.8,2022-23,90,90,25,87,38.2,5,2104831,1463650,1151254,27.0,46,68.6,70.4,24,24.4,14,45.0,6,132311,78.5,3,3,120,121,120,20.0,43.0,0.0,481367,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,1,1,73676,0.0,3,2
19,Lucas Rodrigues Moura da Silva,MID,Spurs,16,4,1.1,2022-23,0,8,0,4,0.0,0,32079,31502,28944,0.0,3,2.0,0.0,5,2.0,1,0.0,1,2100,0.1,0,0,60,59,60,0.0,0.0,0.0,3541,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6533,0.0,0,0
20,Ben Mee,DEF,Brentford,8,4,4.0,2022-23,90,90,7,58,7.6,0,366260,27610,26294,13.0,32,39.2,1.0,9,7.8,14,35.0,0,1026,0.3,3,3,45,46,45,0.0,1.4,0.0,291643,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,1,1,36248,0.0,2,2
21,Daniel James,MID,Leeds,5,4,0.7,2022-23,69,56,10,0,5.4,3,6733,4741,1667,3.0,5,5.6,15.1,0,0.0,1,19.0,0,860,1.0,0,0,60,60,60,0.0,0.0,0.0,1348,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,1184,0.0,0,1
22,Bruno Borges Fernandes,MID,Man Utd,17,4,3.5,2022-23,90,90,6,89,21.6,1,178059,255540,266667,21.0,8,9.0,29.3,14,10.8,1,22.0,2,7150,24.7,1,1,100,98,100,8.0,35.0,0.0,2432,0.0,0,0.0,0,0,0.0,4,4,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,87041,0.0,0,8
23,Ivan Toney,FWD,Brentford,8,4,6.8,2022-23,90,90,25,90,37.8,8,1271626,512063,438961,48.0,31,37.6,13.1,26,39.0,9,16.0,8,72669,43.1,3,3,70,71,70,23.0,25.8,0.0,728368,0.0,0,0.0,1,1,0.0,0,0,2,1,1,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,2,0,0,83595,0.0,1,2
24,Kyle Walker,DEF,Man City,7,4,4.5,2022-23,90,81,11,90,8.6,1,1227445,1010716,733920,0.0,25,11.0,1.9,24,6.6,6,0.0,6,189051,18.2,3,3,50,51,50,0.0,7.7,0.0,273138,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,114631,0.0,0,1
25,Vitaly Janelt,MID,Brentford,8,4,2.5,2022-23,30,28,3,90,2.8,1,6034,5542,4785,0.0,6,8.2,0.3,14,15.2,1,38.0,2,339,0.8,1,1,55,55,55,2.0,23.7,0.0,815,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1033,0.0,0,6
26,Robert Sánchez,GK,Brighton,11,4,7.0,2022-23,90,90,28,90,22.8,8,1129682,1024877,892941,0.0,22,6.0,0.0,19,40.0,6,0.0,4,91093,0.0,0,0,45,45,45,0.0,0.0,0.0,144790,0.0,0,0.0,0,0,0.0,0,0,1,0,0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,0,0,73463,0.0,0,8
27,Edouard Mendy,GK,Chelsea,10,4,3.7,2022-23,90,90,10,90,19.8,2,2192270,2020683,1595369,0.0,11,25.8,0.0,28,27.8,1,0.0,7,166528,0.0,3,3,50,50,50,0.0,0.0,0.0,208927,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,144923,0.0,0,3
28,Luke Ayling,DEF,Leeds,5,4,0.0,2022-23,0,0,0,0,0.0,0,1640,1794,1794,0.0,0,0.0,0.0,0,0.0,0,0.0,0,143,0.0,0,0,45,45,45,0.0,0.0,0.0,116,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,330,0.0,0,0
29,Pierre-Emile Højbjerg,MID,Spurs,16,4,5.2,2022-23,90,90,12,90,24.8,2,165963,76704,74064,7.0,40,68.2,4.4,16,19.8,10,7.0,2,4722,14.8,0,0,55,55,55,0.0,26.9,0.0,77052,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,1,1,15747,0.0,3,3
30,Declan Rice,MID,West Ham,2,4,2.2,2022-23,90,90,14,90,15.2,2,534098,567681,501042,12.0,3,19.8,23.6,10,19.8,-1,15.0,2,43691,6.3,2,2,50,50,50,4.0,1.3,0.0,39029,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,90819,0.0,0,6
31,Anthony Gordon,MID,Everton,4,4,2.8,2022-23,90,90,-8,90,25.0,1,171582,123461,104719,101.0,6,6.4,36.3,5,2.2,2,46.0,2,18898,1.1,1,1,55,55,55,12.0,1.4,0.0,66468,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,25841,0.0,0,6
32,David Raya Martin,GK,Brentford,8,4,4.5,2022-23,90,90,20,90,43.8,3,579074,493521,495719,0.0,30,27.6,0.0,15,19.8,7,0.0,2,11190,0.0,3,3,45,45,45,0.0,0.0,0.0,105847,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,44785,0.0,0,6
33,Joachim Andersen,DEF,Crystal Palace,13,4,1.5,2022-23,90,90,14,90,18.6,2,227109,225529,218564,0.0,8,40.6,10.7,20,37.4,1,7.0,1,10510,0.0,1,1,45,45,45,6.0,12.2,0.0,17393,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,22552,0.0,0,6
34,Ederson Santana de Moraes,GK,Man City,7,4,4.8,2022-23,90,90,15,90,19.6,1,1753816,1571574,1240294,0.0,21,6.2,0.0,26,14.4,6,0.0,7,135102,0.0,3,3,55,55,55,0.0,0.0,0.0,179995,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1,0,0,108882,0.0,0,1
35,Angelo Ogbonna,DEF,West Ham,2,4,0.0,2022-23,0,0,0,0,0.0,0,5434,6093,9008,0.0,0,0.0,0.0,0,0.0,0,0.0,0,27,0.0,0,0,45,45,45,0.0,0.0,0.0,87,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1011,0.0,0,0
36,Jarrod Bowen,MID,West Ham,2,4,2.2,2022-23,90,84,5,90,12.8,2,475511,575857,547187,32.0,2,7.6,17.4,5,6.6,2,2.0,2,51232,3.3,2,2,85,84,85,22.0,0.7,0.0,18826,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,127696,0.0,0,3
37,Ben Davies,DEF,Liverpool,3,4,0.0,2022-23,90,0,25,90,13.0,6,83650,686,68940,0.0,0,0.0,3.0,20,40.2,0,0.0,4,0,0.0,0,0,40,50,50,33.0,10.9,0.0,13451,0.0,2581,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,7287,0.0,0,0
38,Jan Bednarek,DEF,Southampton,14,4,-0.3,2022-23,0,69,0,90,0.0,0,39620,42353,42818,0.0,11,23.8,0.0,18,14.6,1,4.0,0,1279,0.1,0,0,45,45,45,4.0,21.0,0.0,733,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4440,0.0,0,0
39,Bryan Mbeumo,FWD,Brentford,8,4,3.0,2022-23,90,72,16,90,13.4,2,290227,205130,219038,40.0,27,32.2,42.4,13,11.8,6,27.0,2,11603,2.8,3,3,60,60,60,23.0,15.8,0.0,104377,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,2,2,1,1,0,0,0.0,0.0,0.0,0.0,0,1,1,38306,0.0,0,2
40,Marcus Rashford,MID,Man Utd,17,4,4.5,2022-23,85,90,28,90,36.0,10,442943,892599,964460,76.0,8,19.4,0.8,-1,1.8,1,30.0,2,42301,27.6,1,1,65,63,65,35.0,13.0,0.0,15447,0.0,0,0.0,1,1,0.0,4,4,3,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,472550,0.0,0,3
41,John Stones,DEF,Man City,7,4,2.0,2022-23,90,26,10,0,5.6,0,203136,226853,238382,0.0,3,2.8,1.9,0,0.0,1,0.0,0,5273,0.3,3,3,55,54,55,0.0,0.0,0.0,3385,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,34667,0.0,0,3
42,Lucas Digne,DEF,Aston Villa,19,4,0.8,2022-23,90,90,16,90,17.8,1,302421,368642,342130,18.0,-1,6.8,34.3,11,13.2,-1,6.0,1,27497,15.5,3,3,50,49,50,8.0,22.4,0.0,15762,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,89780,0.0,0,2
43,Nathan Aké,DEF,Man City,7,4,0.0,2022-23,20,90,3,90,1.4,1,224357,134753,56953,0.0,25,16.4,0.0,26,26.2,6,38.0,7,51515,3.3,0,0,50,50,50,4.0,0.6,0.0,98638,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,1,0,0,31649,0.0,0,0
44,Bukayo Saka,MID,Arsenal,9,4,5.0,2022-23,87,83,12,90,12.0,3,1658605,1922750,1772492,8.0,18,13.8,29.9,10,1.8,2,23.0,6,93462,43.9,0,0,80,80,80,36.0,7.6,0.0,67472,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,378360,0.0,0,5
45,Trent Alexander-Arnold,DEF,Liverpool,3,4,6.7,2022-23,90,90,12,90,13.8,0,4817953,4933952,4694983,5.0,24,25.0,42.7,13,12.2,3,40.0,1,60565,74.9,2,2,75,75,75,2.0,20.9,0.0,91592,0.0,0,0.0,0,0,0.0,1,1,0,0,0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,338584,0.0,1,17
46,Mohamed Salah,MID,Liverpool,3,4,7.7,2022-23,90,90,23,90,44.0,8,5661806,5570821,4848340,67.0,5,18.6,45.1,34,39.6,2,38.0,12,175994,89.7,2,2,130,130,130,25.0,20.0,0.0,135020,0.0,0,0.0,1,1,0.0,1,1,1,1,1,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,219196,0.0,0,3
47,Thomas Partey,MID,Arsenal,9,4,3.0,2022-23,90,90,13,90,13.2,3,61170,61511,39617,0.0,9,5.4,3.8,17,22.6,2,39.0,3,12745,4.8,0,0,50,50,50,10.0,12.9,0.0,8704,0.0,0,0.0,0,0,0.0,2,2,0,0,0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,14227,0.0,0,0
48,Lewis Dunk,DEF,Brighton,11,4,6.0,2022-23,90,90,26,90,25.4,6,242328,191803,147708,0.0,28,13.6,0.2,9,12.2,7,0.0,2,27794,0.3,0,0,45,45,45,4.0,0.1,0.0,58819,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,23367,0.0,1,7
